title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Event-T2M: Event-level Conditioning for Complex Text-to-Motion Synthesis,"Seongeun Hong, JaeYoung Seon, JuYeong Hwang, JongHwan Shin, Kang, HyeongYeop","SE Hong, JY Seon, JY Hwang, JH Shin…",openalex,Event-T2M: Event-level Conditioning for Complex Text-to-Motion Synthesis,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2602.04292,"Text-to-motion generation has advanced with diffusion models, yet existing systems often collapse complex multi-action prompts into a single embedding, leading to omissions …",,
Making Pose Representations More Expressive and Disentangled via Residual Vector Quantization,"Sukhyun Jeong, Hong-Gi Shin, Yong‐Hoon Choi","S Jeong, HG Shin, YH Choi",openalex,Making Pose Representations More Expressive and Disentangled via Residual Vector Quantization,1.000,2025,"arXiv preprint arXiv:2508.14561, 2025",https://arxiv.org/abs/2508.14561,"Recent progress in text-to-motion has advanced both 3D human motion generation and text-based motion control. Controllable motion generation (CoMo), which enables intuitive …",,
Mitigating Repetitive Generation of Motion Tokens in Motion-Language Model via Knowledge Distillation,Ruilin Wang,R Wang,openalex,Mitigating Repetitive Generation of Motion Tokens in Motion-Language Model via Knowledge Distillation,1.000,2026,"Proceedings of the 2026 2nd International Conference …, 2026",https://dl.acm.org/doi/abs/10.1145/3803730.3803760,"Language model-based motion generation has garnered significant attention due to its capability to simultaneously output text and motion sequence. However, these methods …",,
Language-guided Human Motion Generation with Temporal Contact Diffusion in 3D Scenes,"Qiuzi Huang, Jiaxin Tong, Mingtong Zhang, Yang Liu, Xueming Li","Q Huang, J Tong, M Zhang, Y Liu, X Li",crossref,Language-guided Human Motion Generation with Temporal Contact Diffusion in 3D Scenes,1.000,2024,"Proceedings of the 2024 10th …, 2024",https://dl.acm.org/doi/abs/10.1145/3708657.3708774,"The task of language-guided human motion generation in 3D scenes faces significant challenges. Despite recent progress, there are still two major difficulties: the weak semantic …",,
Reconstruction for Generation: Regularizing Motion Diffusion Models with Motion Reconstruction,"Yifei Liu, Changxing Ding, Ling Guo, Huaiguang Jiang, Qiong Cao","Y Liu, C Ding, L Guo, H Jiang, Q Cao",page-meta,Reconstruction for Generation: Regularizing Motion Diffusion Models with Motion Reconstruction,1.000,,openreview.net,https://openreview.net/forum?id=n3KUrCwc32,Diffusion models have seen widespread adoption for text-driven human motion generation and related tasks due to their impressive generative capabilities and flexibility. However …,,
Motion Generalist: Multimodal Motion Generation,"Zeyu Zhang, Yiran Wang, Wei Mao, Danning Li, Akira Zhao, Biao Wu, Zirui Song, Bohan Zhuang, Ian Reid, Richard Hartley","Z Zhang, Y Wang, W Mao, D Li, A Zhao, B Wu, Z Song…",page-meta,Motion Generalist: Multimodal Motion Generation,1.000,,openreview.net,https://openreview.net/forum?id=mx9jLnzQGr,"Conditional motion generation has been extensively studied in computer vision, yet two critical challenges remain. First, while masked autoregressive methods have recently …",,
Learning Text-driven 3D Human Motion Generation from 3D-free Web Videos,"Chang Su, Wenhao Chai, Zhixiong Hu, Chuanmiao Dong, Tingwang Chen, Xuan Wang, Zhongang Cai, Gaoang Wang","C Su, W Chai, Z Hu, C Dong, T Chen, X Wang, Z Cai…",page-meta,Learning Text-driven 3D Human Motion Generation from 3D-free Web Videos,1.000,,openreview.net,https://openreview.net/forum?id=nvu9jVEqoo,Text-driven 3D human motion generation has gained attention for synthesizing complex movements from textual descriptions. Traditional approaches depend on expensive 3D …,,
Multi-Modal Action Recognizer Bridges Human Motion Generation and Understanding,"Jidong Kuang, Hongsong Wang, Jie Gui","J Kuang, H Wang, J Gui",page-meta,Multi-Modal Action Recognizer Bridges Human Motion Generation and Understanding,1.000,,openreview.net,https://openreview.net/forum?id=ZL1QqLkfLD,"Human action recognition and motion generation are two active research problems in human-centric computer vision, both aiming to align motion with textual semantics. However …",,
Balance Your Move: Investigating Text to Motion from a Signal Density Measuring View,"Yutong Gao, Xiaokang Wang, Zhiyang Zhang, Ying Zhang, Guoshun Nan, Lijuan Sun","Y Gao, X Wang, Z Zhang, Y Zhang, G Nan, L Sun",page-meta,Balance Your Move: Investigating Text to Motion from a Signal Density Measuring View,1.000,,openreview.net,https://openreview.net/forum?id=yTJFPe5dBo,"Text-to-motion generation has advanced significantly with diffusion models. However, existing approaches typically assume that text and motion guidance contribute equally …",,
Refine Synthesized Action-Conditioned 3D Human Motion with Unsupervised Learned Motion Concepts,"Jianhua Sun, Liang Chai, Yuxuan Li, Xia Chu, Cewu Lu","J Sun, L Chai, Y Li, X Chu, C Lu",page-meta,Refine Synthesized Action-Conditioned 3D Human Motion with Unsupervised Learned Motion Concepts,1.000,,openreview.net,https://openreview.net/forum?id=ZNbzdBIWSd,"As a fundamental aspect of human motion understanding, numerous efforts have been devoted to 3D human motion synthesis and tremendous progress has been made in recent …",,
Multi-Scale Memory Fusion with Dynamic Decay for Coherent Text-to-Motion Generation,"Linhui Cheng, Xiaokang Wang, Xiao Zhang, Kai Liu","L Cheng, X Wang, X Zhang, K Liu",page-meta,Multi-Scale Memory Fusion with Dynamic Decay for Coherent Text-to-Motion Generation,1.000,,openreview.net,https://openreview.net/forum?id=GB6EJUT5IP,"Text-to-3D human motion generation has emerged as a critical challenge in human-AI interaction, with transformative applications spanning virtual reality, robotic control and …",,
