title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
A simple approach for visual rearrangement: 3d mapping and semantic search,"Brandon Trabucco, Gunnar Sigurðsson, Robinson Piramuthu, Gaurav S. Sukhatme, Ruslan Salakhutdinov","B Trabucco, G Sigurdsson, R Piramuthu…",openalex,A Simple Approach for Visual Rearrangement: 3D Mapping and Semantic Search,1.000,2022,"arXiv preprint arXiv …, 2022",https://arxiv.org/abs/2206.13396,Physically rearranging objects is an important capability for embodied agents. Visual room rearrangement evaluates an agent's ability to rearrange objects in a room to a desired goal …,Cited by 17,"https://www.gupiaoq.com/scholar?cites=1173527818026055447&as_sdt=2005&sciodt=0,5&hl=en"
[HTML] Hierarchical policy with deep-reinforcement learning for nonprehensile multiobject rearrangement,"Fan Bai, Fei Meng, Jianbang Liu, Jiankun Wang, Max Q.-H. Meng","F Bai, F Meng, J Liu, J Wang, MQH Meng",crossref,Hierarchical policy with deep-reinforcement learning for nonprehensile multiobject rearrangement,0.975,2022,"Biomimetic Intelligence and …, 2022",https://www.sciencedirect.com/science/article/pii/S2667379722000134,Nonprehensile multiobject rearrangement is the robotic task of planning feasible paths and transferring multiple objects to their predefined target poses without grasping. It must …,Cited by 15,"https://www.gupiaoq.com/scholar?cites=4766117182601846618&as_sdt=2005&sciodt=0,5&hl=en"
Effectively rearranging heterogeneous objects on cluttered tabletops,"Kai Gao, Justin Yu, Tanay Sandeep Punjabi, Jingjin Yu","K Gao, J Yu, TS Punjabi, J Yu",openalex,Effectively Rearranging Heterogeneous Objects on Cluttered Tabletops,1.000,2023,"2023 IEEE/RSJ International …, 2023",https://ieeexplore.ieee.org/abstract/document/10342164/,Effectively rearranging heterogeneous objects constitutes a high-utility skill that an intelligent robot should master. Whereas significant work has been devoted to the grasp synthesis of …,Cited by 8,"https://www.gupiaoq.com/scholar?cites=7521010310874475502&as_sdt=2005&sciodt=0,5&hl=en"
Going in blind: Object motion classification using distributed tactile sensing for safe reaching in clutter,"Rachel Thomasson, Etienne Roberge, Mark R. Cutkosky, Jean-Philippe Roberge","R Thomasson, E Roberge…",openalex,Going In Blind: Object Motion Classification using Distributed Tactile Sensing for Safe Reaching in Clutter,1.000,2022,"2022 IEEE/RSJ …, 2022",https://ieeexplore.ieee.org/abstract/document/9981924/,"Robotic manipulators navigating cluttered shelves or cabinets may find it challenging to avoid contact with obstacles. Indeed, rearranging obstacles may be necessary to access a …",Cited by 12,"https://www.gupiaoq.com/scholar?cites=2756467326614575663&as_sdt=2005&sciodt=0,5&hl=en"
Object rearrangement with nested nonprehensile manipulation actions,"Chang‐Kyu Song, Abdeslam Boularias","C Song, A Boularias",openalex,Object Rearrangement with Nested Nonprehensile Manipulation Actions,1.000,2019,"… on Intelligent Robots and Systems (IROS …, 2019",https://ieeexplore.ieee.org/abstract/document/8967548/,"This paper considers the problem of rearrangement planning, ie finding a sequence of manipulation actions that displace multiple objects from an initial configuration to a given …",Cited by 26,"https://www.gupiaoq.com/scholar?cites=260363867034782410&as_sdt=2005&sciodt=0,5&hl=en"
PuSHR: A multirobot system for nonprehensile rearrangement,"Sidharth Talia, Arnav Thareja, Christoforos Mavrogiannis, Matt Schmittle, Siddhartha S Srinivasa","S Talia, A Thareja, C Mavrogiannis…",openalex,PuSHR: A Multirobot System for Nonprehensile Rearrangement,1.000,2023,"2023 IEEE/RSJ …, 2023",https://ieeexplore.ieee.org/abstract/document/10341853/,We focus on the problem of rearranging a set of objects with a team of car-like robot pushers built using off-the-shelf components. Maintaining control of pushed objects while avoiding …,Cited by 9,"https://www.gupiaoq.com/scholar?cites=18330268983690848806&as_sdt=2005&sciodt=0,5&hl=en"
Multi-stage monte carlo tree search for non-monotone object rearrangement planning in narrow confined environments,"Hanwen Ren, Ahmed H. Qureshi","H Ren, AH Qureshi",openalex,Multi-Stage Monte Carlo Tree Search for Non-Monotone Object Rearrangement Planning in Narrow Confined Environments,1.000,2024,"… on Intelligent Robots and Systems (IROS), 2024",https://ieeexplore.ieee.org/abstract/document/10801607/,Non-monotone object rearrangement planning in confined spaces such as cabinets and shelves is a widely occurring but challenging problem in robotics. Both the robot motion and …,Cited by 7,"https://www.gupiaoq.com/scholar?cites=5186969018672772715&as_sdt=2005&sciodt=0,5&hl=en"
Interactive control algorithm for shoulder-amputated prosthesis and object based on reinforcement learning,"Baojiang Li, Haiyan Ye, Yuting Guo, Haiyan Wang, Shengjie Qiu, Jibo Bai","B Li, H Ye, Y Guo, H Wang, S Qiu…",openalex,Interactive control algorithm for shoulder-amputated prosthesis and object based on reinforcement learning,1.000,2024,"Transactions of the …, 2024",https://journals.sagepub.com/doi/abs/10.1177/01423312241233108,"As a prosthesis made to compensate for the residual loss of the amputee's limb, the shoulder disarticulation upper limb prosthesis replaces the missing arm function of the …",Cited by 5,"https://www.gupiaoq.com/scholar?cites=5380425514042085056&as_sdt=2005&sciodt=0,5&hl=en"
A simple approach for visual room rearrangement: 3d mapping and semantic search,"Brandon Trabucco, Gunnar Sigurðsson, Robinson Piramuthu, Gaurav S. Sukhatme, Ruslan Salakhutdinov","B Trabucco, GA Sigurdsson, R Piramuthu…",openalex,A Simple Approach for Visual Rearrangement: 3D Mapping and Semantic Search,0.967,2023,"The Eleventh …, 2023",https://openreview.net/forum?id=1C6nCCaRe6p,Physically rearranging objects is an important capability for embodied agents. Visual room rearrangement evaluates an agent's ability to rearrange objects in a room to a desired goal …,Cited by 8,"https://www.gupiaoq.com/scholar?cites=3457295438850508574&as_sdt=2005&sciodt=0,5&hl=en"
Efficient reinforcement learning with least-squares soft Bellman residual for robotic grasping,"Yixing Lan, Junkai Ren, Tao Tang, Xin Xu, Yifei Shi, Zixin Tang","Y Lan, J Ren, T Tang, X Xu, Y Shi, Z Tang",openalex,Efficient reinforcement learning with least-squares soft Bellman residual for robotic grasping,1.000,2023,"Robotics and Autonomous …, 2023",https://www.sciencedirect.com/science/article/pii/S0921889023000246,"Grasping control of intelligent robots has to deal with the difficulties of model uncertainties and nonlinearities. In this paper, we propose the Kernel-based Least-Squares Soft Bellman …",Cited by 7,"https://www.gupiaoq.com/scholar?cites=6055610013741076203&as_sdt=2005&sciodt=0,5&hl=en"
